,Name,Address,Phone_Number,Zip_Code,Latitude,Longitude
589,Starbucks Coffee,130 S Canal St ,312-756-9087,60606,41.87963999999999,-87.640368
594,Starbucks Coffee,111 N State St ,312-781-4400,60602,41.8838936,-87.6273976
595,Starbucks Coffee,959 W Fullerton Ave ,773-248-0049,60614,41.9252019,-87.6533791
596,Starbucks Coffee,1830 W Fullerton Ave ,773-248-0602,60614,41.9266337,-87.6740639
597,Starbucks Coffee,1500 E 53rd St ,773-324-1241,60615,41.7998079,-87.5888552
600,Starbucks Coffee,2019 W  Chicago,773-799-9000,60622,41.89563769999999,-87.6778221
603,Starbucks Coffee,351 W Hubbard St ,312-467-1173,60654,41.8896639,-87.637483
614,Starbucks Coffee,35 W Wacker Dr ,312-541-8317,60601,41.8865829,-87.6291883
615,Starbucks Coffee,8500 W Bryn Mawr Ave ,773-329-2834,60631,41.9831511,-87.8409313
622,Starbucks Coffee,4600 N Magnolia Ave ,773-506-4280,60640,41.9655204,-87.66146529999999
623,Starbucks Coffee,5233 N Lincoln Ave ,773-442-1158,60625,41.9768045,-87.6922599
628,Starbucks Coffee,3506 S State St ,773-536-3126,60609,41.8307628,-87.62686769999999
629,Starbucks Coffee,328 N Desplaines St ,312-339-2780,60661,41.887813,-87.6445531
636,Starbucks Coffee,131 S Dearborn St ,312-977-0018,60603,41.8799899,-87.6288094
637,Starbucks Coffee,17 E Monroe St Lbby 10 ,312-332-0248,60603,41.8803066,-87.6267388
640,Starbucks Coffee,1340 S Canal St ,312-850-3915,60607,41.8639944,-87.6397681
649,Starbucks Coffee,2939 W Addison St ,773-604-7680,60618,41.945392,-87.70216500000001
660,Starbucks Coffee,3145 S Ashland Ave ,773-247-2633,60608,41.8365505,-87.6637921
663,Starbucks Coffee,4747 N Harlem Ave ,708-402-0974,60706,41.967134,-87.8057458
668,Starbucks Coffee,100 W 100th St ,312-240-1602,60607,40.7954774,-73.965616
683,Starbucks Coffee,3359 N Southport Ave ,773-975-2071,60657,41.9433064,-87.6636023
684,Starbucks Coffee,1763 W Howard St ,773-761-7022,60626,42.0176278,-87.6745096
691,Starbucks Coffee,11840 S Marshfield Ave ,773-396-5506,60643,41.6785529,-87.6652055
694,Starbucks Coffee,300 E Randolph St ,312-233-0012,60601,41.8848897,-87.6195448
697,Starbucks Coffee,108 W Germania Pl ,312-337-6481,60610,41.9105712,-87.6322234
707,Starbucks Coffee,202 N Michigan Ave ,312-541-1313,60601,41.886099,-87.6248853
708,Starbucks Coffee,4557 N Lincoln Ave ,773-878-5609,60625,41.9647028,-87.6857081
711,Starbucks Coffee,1940 W 33rd St ,773-843-9121,60608,41.83615930000001,-87.6743175
718,Starbucks Coffee,550 W Van Buren St,312-431-0226,60607,41.8769783,-87.64154189999999
719,Starbucks Coffee,540 N Michigan Ave ,312-836-0100,60611,41.8922946,-87.6245768
722,Starbucks Coffee,750 N Franklin St ,312-274-0092,60654,41.8962887,-87.6359466
725,Starbucks Coffee,2200 N Clybourn Ave ,773-248-0908,60614,41.9217052,-87.66473189999999
726,Starbucks Coffee,4433 S Pulaski Rd ,773-579-2120,60632,41.8124225,-87.7219205
727,Starbucks Coffee,1023 W Addison St ,773-929-0945,60613,41.94702290000001,-87.6554075
732,Starbucks Coffee,4701 S Cicero Ave ,773-838-8596,60632,41.80743330000001,-87.7428462
733,Starbucks Coffee,233 S Wacker Dr,312-559-9930,60606,41.878877,-87.6357573
734,Starbucks Coffee,1101 W Jackson Blvd ,312-279-3340,60607,41.8770351,-87.6554927
741,Starbucks Coffee,1 N Halsted St ,312-279-8861,60661,41.8821688,-87.6469767
744,Starbucks Coffee,30 N La Salle St,312-263-0925,60602,41.8828891,-87.63278969999999
749,Starbucks Coffee,946 W Randolph St ,312-850-0079,60607,41.8845971,-87.65190799999999
758,Starbucks Coffee,30 E Hubbard St ,312-329-2500,60611,41.890338,-87.6275592
761,Sunrise Coffe Shop,9917 S Walden Pkwy ,773-779-4141,60643,41.7133143,-87.6675341
765,Sweet Bean And More,1855 W Diversey Pkwy ,773-857-3100,60614,41.9321147,-87.6753341
766,Swim Café,1357 W Chicago,312-492-8600,60642,41.89598549999999,-87.661602
767,Tassili,4342 N Elston Ave ,773-685-6773,60641,41.9594959,-87.72800459999999
768,The Bagelers Coffeehouse,2461 N Lincoln Ave ,872-802-0347,60614,41.9269614,-87.65044329999999
769,The Coffee Alley,1152 W Taylor St ,312-526-3873,60607,41.8696683,-87.6563182
770,The Coffee Shop,1135 W Sheridan Rd ,773-274-1670,60660,41.99797410000001,-87.6598257
773,The Common Cup,1501 W Morse Ave ,773-338-0256,60626,42.0076014,-87.6680622
774,The Daily Cup Inc,1217 W Devon Ave ,773-338-5131,60660,41.9980225,-87.6613414
775,The Eastman Egg Company,23 N Wacker Drive ,312-384-1011,60606,41.8828493,-87.6365155
776,The Jackalope Coffee And Tea House,753 W 32nd St ,312-888-3468,60616,41.836094,-87.6457559
777,The Perfect Cup,4700 N Damen Ave ,773-989-4177,60625,41.96706200000001,-87.67936809999999
778,The Sip,5301 S Hyde Park Blvd ,773-891-1789,60615,41.7994774,-87.5838469
779,Two Hearted Queen,1201 W Roscoe St ,872-802-3874,60657,41.9433295,-87.65923049999999
780,Westons Coffee & Tap Co,4872 North Milwaukee Avenue ,708-669-7625,60630,41.9695227,-87.76259139999999
781,Whispers Coffee & Tea Inc,1031 N State St ,312-266-6422,60610,48.7461814,-122.4810072
782,Zoriana Candy Store,912 N Western Ave ,773-772-4281,60622,41.8980085,-87.6872161
